Active Cases,Country,Deaths/1M pop,Document Index (generated),New Cases,New Deaths,Number of Records,"Serious,Critical",Tests/1M pop,Tot Cases/1M pop,Total Cases,Total Deaths,Total Recovered,Total Tests
6,Maldives,,161,,,1,,,35,19,,13,
17,New Caledonia,,162,,,1,,8126,63,18,,1,2320
13,Angola,0.06,163,,,1,,,0.5,17,2,2,
13,Equatorial Guinea,,164,,,1,,609,11,16,,3,854
12,Mongolia,,165,1,,1,,,5,16,,4,
13,Namibia,,166,,,1,,142,6,16,,3,362
14,Dominica,,167,,,1,,4070,208,15,,1,293
15,Fiji,,168,,,1,,,17,15,,,
15,Laos,,169,1,,1,,107,2,15,,,781
8,Liberia,0.6,170,,,1,,,3,14,3,3,
10,Sudan,0.05,171,,,1,,,0.3,14,2,2,
13,Saint Lucia,,172,,,1,,,76,14,,1,
5,Curaçao,6,173,,,1,,,79,13,1,7,
12,Grenada,,174,,,1,2,400,107,12,,,45
9,Zimbabwe,0.1,175,,,1,,25,0.7,11,2,,371
1,Greenland,,176,,,1,,13246,194,11,,10,752
11,Saint Kitts and Nevis,,177,,,1,,3440,207,11,,,183
11,Seychelles,,178,,,1,,,112,11,,,
6,Suriname,2,179,,,1,,,17,10,1,3,
8,Chad,,180,,,1,,,0.6,10,,2,
9,Mozambique,,181,,,1,,14,0.3,10,,1,424
6,Eswatini,,182,,,1,,,9,10,,4,
7,MS Zaandam,,183,,,1,,,,9,2,,
8,Nepal,,184,,,1,,73,0.3,9,,1,2122
9,Montserrat,,185,,,1,1,7212,1803,9,,,36
7,Malawi,0.05,186,,,1,1,,0.4,8,1,,
7,Turks and Caicos,26,187,,,1,,1576,207,8,1,,61
8,CAR,,188,,,1,,,2,8,,,
7,St. Vincent Grenadines,,189,,,1,,505,72,8,,1,56
7,Somalia,,190,,,1,,,0.5,8,,1,
6,Belize,3,191,,,1,1,674,18,7,1,,268
5,Cabo Verde,2,192,,,1,,,13,7,1,1,
7,Vatican City,,193,,,1,,,8739,7,,,
7,Sierra Leone,,194,1,,1,,,0.9,7,,,
5,Botswana,0.4,195,,,1,,491,3,6,1,,1154
3,Mauritania,0.2,196,,,1,,14,1,6,1,2,67
5,Nicaragua,0.2,197,,,1,,,0.9,6,1,,
5,St. Barth,,198,,,1,,,607,6,,1,
3,Bhutan,,199,,,1,,1511,6,5,,2,1166
1,Gambia,0.4,200,,,1,,,2,4,1,2,
4,Sao Tome and Principe,,201,,,1,,87,18,4,,,19
4,Western Sahara,,202,,,1,,,7,4,,,
3,Anguilla,,203,,,1,,,200,3,,,
3,British Virgin Islands,,204,,,1,,,99,3,,,
3,Burundi,,205,,,1,,,0.3,3,,,
2,Caribbean Netherlands,,206,,,1,,381,76,2,,,10
2,Falkland Islands,,207,,,1,,,575,2,,,
2,Papua New Guinea,,208,,,1,,8,0.2,2,,,72
2,South Sudan,,209,,,1,,,0.2,2,,,
1,Saint Pierre Miquelon,,210,,,1,,,173,1,,,
1,Timor-Leste,,211,,,1,,,0.8,1,,,
1190,China,2,212,62,2,1,189,,57,81802,3333,77279,
1055309,Total:,10.7,213,"16,985","1,378",1,47994,,185.8,1447904,83412,309183,
